"node"	"propform"	"tildevalue"	"%"	"actantslist"
"ls:fr:node:26339"	"$1 ~ $2 en $3"	"approvisionne"	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26340"	"$1 ~ sur $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26341"	"[$1] ~ $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26342"	"~"	""	"100"	"()"
"ls:fr:node:26343"	"~ de $1"	""	"90"	"($1=X)"
"ls:fr:node:26345"	"~"	""	"100"	"()"
"ls:fr:node:26346"	"$1, ~ de $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26347"	"~"	""	"100"	"()"
"ls:fr:node:26348"	"! ~ utilisé par $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26349"	"~ utilisée par $1"	""	"100"	"($1=X)"
"ls:fr:node:26350"	"~ de $2 constituée des $1"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26351"	"$1 ~ $2 avec $3"	"arme"	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26352"	"~ qui sert à $1 pour ranger $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26353"	"$1 ~ $2 avec $3"	"arrache"	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26354"	"$1 ~ $2"	" arrange "	"100"	"($1=X,$2=Y)"
"ls:fr:node:26355"	"$1 ~ $2"	" arrête "	"100"	"($1=X,$2=Y)"
"ls:fr:node:26356"	"~ de $1"	""	"100"	"($1=X)"
"ls:fr:node:26357"	"$1 ~ à $2"	" arrive "	"100"	"($1=X,$2=Y)"
"ls:fr:node:26359"	"~ écrit par $1 sur $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26360"	"$1 qui est ~"	""	"100"	"($1=X)"
"ls:fr:node:26361"	"~ de $2 qui sert à $1"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26362"	"$1 ~"	""	"100"	"($1=X)"
"ls:fr:node:26363"	"~ $2 de $1 "	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26364"	"~ qui sert à $1 pour nettoyer  $2 de $3"	""	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26365"	"$1 ~ $2"	"aspire"	"100"	"($1=Z,$2=Y)"
"ls:fr:node:26367"	"$1 ~ sur $2"	"s’asseoit"	"100"	"($1=X,$2=Y)"
"ls:fr:node:26369"	"~ qui sert à $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26370"	"$1 est ~ sur $2"	""	"90"	"($1=X,$2=Y)"
"ls:fr:node:26371"	"$1 ~ $2"	"assiste"	"100"	"($1=X,$2=Y)"
"ls:fr:node:26373"	"$1 ~ à $2 que $3"	"assure"	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26375"	"~ qui sert à $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26376"	"$1 qui est ~"	""	"100"	"($1=X)"
"ls:fr:node:26377"	"$1 ~ $2"	" attache "	"100"	"($1=X,$2=Y)"
"ls:fr:node:26378"	"$1 ~ $2"	"attaque"	"100"	"($1=X,$2=Y)"
"ls:fr:node:26380"	"$1 ~ $2"	"attend"	"100"	"($1=X,$2=Y)"
"ls:fr:node:26383"	"~ de $1 contre $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26384"	"~ de $1 envers $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26385"	"$1 ~ à $2"	" atterrit "	"100"	"($1=X,$2=Y)"
"ls:fr:node:26388"	"~ de $1 sur $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26390"	"Le locuteur dit : « ~ »"	"Au revoir !"	"100"	"()"
"ls:fr:node:26393"	"~ de $1"	""	"100"	"($1=X)"
"ls:fr:node:26394"	"$1 ~ $2 de $3"	"augmente"	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26396"	"$1 ~"	""	"100"	"($1=X)"
"ls:fr:node:26398"	"$1 ~"	""	"100"	"($1=X)"
"ls:fr:node:26399"	"$1 ~"	""	"100"	"($1=X)"
"ls:fr:node:26401"	"$1, ~ de $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26402"	"$1 qui est ~"	""	"100"	"($1=X)"
"ls:fr:node:26403"	"~ qui sert à $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26404"	"~ conduit par $1 et utilisé par $2, qui s’arrête à $3"	""	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26405"	"~ qui sert à $1 pour transporter $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26406"	"$1 qui est ~"	""	"100"	"($1=X)"
"ls:fr:node:26407"	"~ de $1"	""	"100"	"($1=X)"
"ls:fr:node:26408"	"! ~ où travaillent les $1 pour fabriquer $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26409"	"~ de $1 dans le domaine $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26410"	"$1 ~ $2 à faire $3"	"autorise"	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26411"	"~ de $1 sur $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26412"	"~ qui sert à $1 pour aller à $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26413"	"$1 ~ de $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26414"	"~ $1"	""	"100"	"($1=X)"
"ls:fr:node:26415"	"$1 ~"	""	"100"	"($1=X)"
"ls:fr:node:26416"	"! $1 ~ que $2"	""	"60"	"($1=X,$2=Y)"
"ls:fr:node:26417"	"$1 ~ $2"	" avale "	"100"	"($1=X,$2=Y)"
"ls:fr:node:26418"	"! $1 ~ vers $2"	"avance "	"100"	"($1=X,$2=Y)"
"ls:fr:node:26420"	"~ de $1 sur $2 dans le domaine $3"	""	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26422"	"~"	""	"100"	"()"
"ls:fr:node:26424"	"~"	""	"100"	"()"
"ls:fr:node:26425"	"~ de $1"	""	"100"	"($1=X)"
"ls:fr:node:26426"	"~ qui sert à $1 pour aller à $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26427"	"! ~ de $1 sur $2"	""	"60"	"($1=X,$2=Y)"
