"node"	"example"	"occurrence"	"position"	"%"
"ls:fr:node:26259"	"ls:fr:ex:6968"	"180,190;"	"0"	"100"
"ls:fr:node:26259"	"ls:fr:ex:6975"	"330,340;"	"1"	"100"
"ls:fr:node:26259"	"ls:fr:ex:6976"	"18,28;"	"2"	"100"
"ls:fr:node:26259"	"ls:fr:ex:6981"	"70,80;"	"3"	"100"
"ls:fr:node:26259"	"ls:fr:ex:6983"	"78,88;"	"4"	"100"
"ls:fr:node:26259"	"ls:fr:ex:6986"	"160,171;"	"5"	"100"
"ls:fr:node:26259"	"ls:fr:ex:7012"	"149,159;"	"6"	"100"
"ls:fr:node:26259"	"ls:fr:ex:7013"	"98,108;"	"7"	"100"
"ls:fr:node:26259"	"ls:fr:ex:7015"	"96,106;"	"8"	"100"
"ls:fr:node:26260"	"ls:fr:ex:3767"	"204,210;"	"0"	"100"
"ls:fr:node:26261"	"ls:fr:ex:3393"	"214,222;"	"0"	"100"
"ls:fr:node:26262"	"ls:fr:ex:2839"	"134,140;298,304;393,399;"	"0"	"100"
"ls:fr:node:26263"	"ls:fr:ex:5305"	"29,36;"	"0"	"100"
"ls:fr:node:26263"	"ls:fr:ex:19975"	"137,145;"	"1"	"100"
"ls:fr:node:26263"	"ls:fr:ex:19974"	"20,28;"	"2"	"100"
"ls:fr:node:26263"	"ls:fr:ex:9677"	"244,252;"	"3"	"100"
"ls:fr:node:26263"	"ls:fr:ex:16465"	"113,121;"	"4"	"100"
"ls:fr:node:26263"	"ls:fr:ex:3228"	"52,59;"	"5"	"100"
"ls:fr:node:26264"	"ls:fr:ex:23324"	"51,63;"	"0"	"100"
"ls:fr:node:26267"	"ls:fr:ex:16483"	"249,254;"	"0"	"100"
"ls:fr:node:26267"	"ls:fr:ex:16484"	"279,284;"	"1"	"100"
"ls:fr:node:26268"	"ls:fr:ex:879"	"30,32;"	"0"	"100"
"ls:fr:node:26268"	"ls:fr:ex:4615"	"50,55;"	"1"	"100"
"ls:fr:node:26268"	"ls:fr:ex:4934"	"174,179;"	"2"	"100"
"ls:fr:node:26268"	"ls:fr:ex:14729"	"30,35;"	"3"	"100"
"ls:fr:node:26268"	"ls:fr:ex:940"	"338,343;"	"4"	"100"
"ls:fr:node:26268"	"ls:fr:ex:1519"	"61,66;"	"5"	"100"
"ls:fr:node:26268"	"ls:fr:ex:2228"	"63,68;"	"6"	"100"
"ls:fr:node:26268"	"ls:fr:ex:12211"	"46,51;"	"8"	"100"
"ls:fr:node:26268"	"ls:fr:ex:1378"	"32,36;"	"10"	"100"
"ls:fr:node:26268"	"ls:fr:ex:4941"	"330,335;"	"11"	"100"
"ls:fr:node:26268"	"ls:fr:ex:5310"	"337,345;"	"12"	"100"
"ls:fr:node:26268"	"ls:fr:ex:5889"	"22,26;34,38;"	"13"	"100"
"ls:fr:node:26268"	"ls:fr:ex:7160"	"73,77;"	"14"	"100"
"ls:fr:node:26268"	"ls:fr:ex:3585"	"20,24;"	"15"	"100"
"ls:fr:node:26268"	"ls:fr:ex:16236"	"59,69;"	"16"	"100"
"ls:fr:node:26268"	"ls:fr:ex:10026"	"19,23;"	"17"	"100"
"ls:fr:node:26268"	"ls:fr:ex:10668"	"24,29;"	"18"	"100"
"ls:fr:node:26268"	"ls:fr:ex:1734"	"42,52;"	"19"	"100"
"ls:fr:node:26268"	"ls:fr:ex:3751"	"93,98;"	"20"	"100"
"ls:fr:node:26269"	"ls:fr:ex:12425"	"93,101;"	"0"	"100"
"ls:fr:node:26269"	"ls:fr:ex:33134"	"62,70;"	"1"	"100"
"ls:fr:node:26270"	"ls:fr:ex:32325"	"18,22;"	"1"	"100"
"ls:fr:node:26270"	"ls:fr:ex:32326"	"16,20;"	"2"	"100"
"ls:fr:node:26270"	"ls:fr:ex:32327"	"18,22;"	"3"	"100"
"ls:fr:node:26272"	"ls:fr:ex:3838"	"110,117;"	"0"	"100"
"ls:fr:node:26273"	"ls:fr:ex:3739"	"51,61;"	"0"	"100"
"ls:fr:node:26274"	"ls:fr:ex:8570"	"120,128;"	"0"	"100"
"ls:fr:node:26275"	"ls:fr:ex:3327"	"138,143;"	"0"	"100"
"ls:fr:node:26275"	"ls:fr:ex:1498"	"25,30;"	"1"	"100"
"ls:fr:node:26276"	"ls:fr:ex:7075"	"304,312;"	"0"	"100"
"ls:fr:node:26277"	"ls:fr:ex:23466"	"48,60;"	"0"	"100"
"ls:fr:node:26278"	"ls:fr:ex:2514"	"53,62;"	"0"	"100"
"ls:fr:node:26279"	"ls:fr:ex:371"	"161,168;"	"0"	"100"
"ls:fr:node:26280"	"ls:fr:ex:4033"	"35,42;"	"0"	"100"
"ls:fr:node:26281"	"ls:fr:ex:272"	"113,121;"	"0"	"100"
"ls:fr:node:26282"	"ls:fr:ex:2471"	"112,119;"	"0"	"100"
"ls:fr:node:26283"	"ls:fr:ex:4592"	"70,78;"	"0"	"100"
"ls:fr:node:26284"	"ls:fr:ex:8638"	"93,103;"	"0"	"100"
"ls:fr:node:26285"	"ls:fr:ex:15262"	"55,58;"	"0"	"100"
"ls:fr:node:26286"	"ls:fr:ex:9060"	"54,57;98,106;"	"0"	"100"
"ls:fr:node:26287"	"ls:fr:ex:16567"	"18,20;26,31;"	"0"	"100"
"ls:fr:node:26288"	"ls:fr:ex:13104"	"348,353;"	"0"	"100"
"ls:fr:node:26288"	"ls:fr:ex:8713"	"123,127;"	"1"	"100"
"ls:fr:node:26289"	"ls:fr:ex:15706"	"29,39;"	"0"	"100"
