"id"	"addtoname"	"name"	"subscript"	"superscript"	"status"	"%"
"ls:fr:entry:26370"	""	"assez"	""	""	"2"	"100"
"ls:fr:entry:26371"	""	"assiette"	""	"1"	"2"	"100"
"ls:fr:entry:26372"	""	"assis"	""	""	"2"	"100"
"ls:fr:entry:26373"	""	"assister"	""	""	"2"	"100"
"ls:fr:entry:26374"	""	"associer"	""	""	"2"	"100"
"ls:fr:entry:26375"	""	"assurer"	""	""	"2"	"100"
"ls:fr:entry:26376"	""	"astuce"	""	""	"2"	"100"
"ls:fr:entry:26377"	""	"atelier"	""	""	"2"	"100"
"ls:fr:entry:26378"	""	"atroce"	""	""	"2"	"100"
"ls:fr:entry:26379"	""	"attacher"	""	""	"2"	"100"
"ls:fr:entry:26380"	""	"attaquer"	""	""	"2"	"100"
"ls:fr:entry:26381"	""	"atteindre"	""	""	"2"	"100"
"ls:fr:entry:26382"	""	"attendre"	""	""	"2"	"100"
"ls:fr:entry:26383"	""	"attendrir"	""	""	"2"	"100"
"ls:fr:entry:26384"	""	"attendrissement"	""	""	"2"	"100"
"ls:fr:entry:26385"	""	"attentat"	""	""	"2"	"100"
"ls:fr:entry:26386"	""	"attention"	""	""	"2"	"100"
"ls:fr:entry:26387"	""	"atterrir"	""	""	"2"	"100"
"ls:fr:entry:26388"	""	"attirer"	""	""	"2"	"100"
"ls:fr:entry:26389"	""	"attitude"	""	""	"2"	"100"
"ls:fr:entry:26390"	""	"attrait"	""	""	"2"	"100"
"ls:fr:entry:26391"	""	"attraper"	""	""	"2"	"100"
"ls:fr:entry:26392"	""	"au revoir"	""	""	"2"	"100"
"ls:fr:entry:26393"	""	"aucun"	"Pro"	""	"2"	"100"
"ls:fr:entry:26395"	""	"audition"	""	""	"2"	"100"
"ls:fr:entry:26396"	""	"augmenter"	""	""	"2"	"100"
"ls:fr:entry:26397"	""	"aujourd’hui"	""	""	"2"	"100"
"ls:fr:entry:26398"	""	"auparavant"	""	""	"2"	"100"
"ls:fr:entry:26399"	""	"auquel"	""	""	"2"	"100"
"ls:fr:entry:26400"	""	"aussi"	""	""	"2"	"100"
"ls:fr:entry:26401"	""	"aussitôt"	""	""	"2"	"100"
"ls:fr:entry:26402"	""	"autant"	""	""	"2"	"100"
"ls:fr:entry:26403"	""	"auteur"	""	""	"2"	"100"
"ls:fr:entry:26404"	""	"authentique"	""	""	"2"	"100"
"ls:fr:entry:26405"	""	"auto"	""	""	"1"	"100"
"ls:fr:entry:26406"	""	"autobus"	""	""	"1"	"100"
"ls:fr:entry:26407"	""	"autocar"	""	""	"1"	"100"
"ls:fr:entry:26408"	""	"automatique"	"Adj"	""	"2"	"100"
"ls:fr:entry:26409"	""	"automne"	""	""	"2"	"100"
"ls:fr:entry:26410"	""	"automobile"	"N"	""	"2"	"100"
"ls:fr:entry:26411"	""	"autonomie"	""	""	"2"	"100"
"ls:fr:entry:26412"	""	"autoriser"	""	""	"2"	"100"
"ls:fr:entry:26413"	""	"autorité"	""	""	"2"	"100"
"ls:fr:entry:26414"	""	"autoroute"	""	""	"1"	"100"
"ls:fr:entry:26415"	""	"autour"	""	""	"2"	"100"
"ls:fr:entry:26416"	""	"autre"	"Adj"	""	"2"	"100"
"ls:fr:entry:26417"	""	"autrefois"	""	""	"2"	"100"
"ls:fr:entry:26418"	""	"autrement"	""	""	"2"	"100"
"ls:fr:entry:26419"	""	"avaler"	""	""	"2"	"100"
"ls:fr:entry:26420"	""	"avancer"	""	""	"2"	"100"
"ls:fr:entry:26421"	""	"avant"	"N"	""	"2"	"100"
"ls:fr:entry:26422"	""	"avantage"	""	""	"2"	"100"
"ls:fr:entry:26423"	""	"avantager"	""	""	"2"	"100"
"ls:fr:entry:26424"	""	"avant-hier"	""	""	"2"	"100"
"ls:fr:entry:26425"	""	"avec"	""	""	"1"	"100"
"ls:fr:entry:26426"	""	"avenir"	""	""	"2"	"100"
"ls:fr:entry:26427"	""	"aventure"	""	""	"2"	"100"
"ls:fr:entry:26428"	""	"avenue"	""	""	"2"	"100"
"ls:fr:entry:26429"	""	"averse"	""	""	"2"	"100"
"ls:fr:entry:26430"	""	"avertir"	""	""	"2"	"100"
"ls:fr:entry:26431"	""	"aveugle"	"Adj"	""	"2"	"100"
"ls:fr:entry:26432"	""	"aviation"	""	""	"2"	"100"
"ls:fr:entry:26433"	""	"avion"	""	""	"1"	"100"
"ls:fr:entry:26434"	""	"avis"	""	""	"2"	"100"
"ls:fr:entry:26435"	""	"avocat"	""	"1"	"2"	"100"
"ls:fr:entry:26436"	""	"avoir"	"V"	""	"1"	"100"
"ls:fr:entry:26437"	""	"avorter"	""	""	"2"	"100"
"ls:fr:entry:26438"	""	"avouer"	""	""	"3"	"100"
"ls:fr:entry:26439"	""	"avril"	""	""	"2"	"100"
"ls:fr:entry:26440"	""	"bactérie"	""	""	"2"	"100"
"ls:fr:entry:26441"	""	"bagage"	""	""	"2"	"100"
"ls:fr:entry:26442"	""	"bagarre"	""	""	"2"	"100"
"ls:fr:entry:26443"	""	"bague"	""	""	"2"	"100"
"ls:fr:entry:26444"	""	"baguette"	""	""	"2"	"100"
"ls:fr:entry:26445"	"se "	"baigner"	""	""	"2"	"100"
"ls:fr:entry:26446"	""	"baignoire"	""	""	"2"	"100"
"ls:fr:entry:26447"	""	"bâiller"	""	""	"2"	"100"
"ls:fr:entry:26448"	""	"bain"	""	""	"2"	"100"
"ls:fr:entry:26449"	""	"baiser"	"N"	""	"2"	"100"
"ls:fr:entry:26450"	""	"baisser"	""	""	"2"	"100"
"ls:fr:entry:26451"	""	"bal"	""	""	"2"	"100"
"ls:fr:entry:26452"	""	"balade"	""	""	"2"	"100"
"ls:fr:entry:26453"	""	"balai"	""	"1"	"2"	"100"
"ls:fr:entry:26454"	""	"balayer"	""	""	"2"	"100"
"ls:fr:entry:26455"	""	"baleine"	""	""	"2"	"100"
"ls:fr:entry:26456"	""	"ballon"	""	"1"	"2"	"100"
"ls:fr:entry:26457"	""	"banal"	""	""	"2"	"100"
"ls:fr:entry:26458"	""	"banane"	""	""	"2"	"100"
"ls:fr:entry:26459"	""	"banc"	""	"1"	"2"	"100"
"ls:fr:entry:26460"	""	"bande"	""	"1"	"2"	"100"
"ls:fr:entry:26461"	""	"bandit"	""	""	"1"	"100"
"ls:fr:entry:26462"	""	"banlieue"	""	""	"2"	"100"
"ls:fr:entry:26463"	""	"banque"	""	""	"2"	"100"
"ls:fr:entry:26464"	""	"bar"	""	"1"	"2"	"100"
"ls:fr:entry:26465"	""	"barbe"	""	""	"2"	"100"
"ls:fr:entry:26466"	""	"barre"	""	""	"2"	"100"
"ls:fr:entry:26467"	""	"barrière"	""	""	"2"	"100"
"ls:fr:entry:26468"	""	"bas"	"Adj"	""	"2"	"100"
"ls:fr:entry:26469"	""	"bas"	"Adv"	""	"2"	"100"
"ls:fr:entry:26470"	""	"bas"	"N"	""	"2"	"100"
"ls:fr:entry:26471"	""	"base"	""	"1"	"2"	"100"
"ls:fr:entry:26472"	""	"basé"	""	""	"2"	"100"
"ls:fr:entry:26473"	""	"basket"	"N, masc"	""	"1"	"100"
"ls:fr:entry:26474"	""	"bataille"	""	""	"2"	"100"
"ls:fr:entry:26475"	""	"bateau"	"N"	"1"	"1"	"100"
"ls:fr:entry:26476"	""	"bâtiment"	""	""	"2"	"100"
"ls:fr:entry:26477"	""	"bâton"	""	""	"2"	"100"
"ls:fr:entry:26478"	""	"battre"	""	"1"	"2"	"100"
"ls:fr:entry:26479"	""	"bavard"	"Adj"	""	"2"	"100"
"ls:fr:entry:26480"	""	"bavarder"	""	""	"2"	"100"
"ls:fr:entry:26481"	""	"beau"	"Adj"	""	"2"	"100"
"ls:fr:entry:26482"	""	"beaucoup"	""	""	"2"	"100"
"ls:fr:entry:26483"	""	"beauté"	""	""	"2"	"100"
"ls:fr:entry:26484"	""	"bébé"	""	""	"2"	"100"
"ls:fr:entry:26485"	""	"bec"	""	""	"2"	"100"
"ls:fr:entry:26486"	""	"belge"	"Adj"	""	"2"	"100"
"ls:fr:entry:26487"	""	"bénévole"	"Adj"	""	"2"	"100"
"ls:fr:entry:26488"	""	"besoin"	""	""	"2"	"100"
"ls:fr:entry:26489"	""	"bête"	"Adj"	""	"2"	"100"
"ls:fr:entry:26490"	""	"bête"	"N"	""	"2"	"100"
"ls:fr:entry:26491"	""	"bêtise"	""	""	"2"	"100"
"ls:fr:entry:26492"	""	"béton"	""	""	"2"	"100"
"ls:fr:entry:26493"	""	"beurre"	""	""	"2"	"100"
"ls:fr:entry:26494"	""	"bicyclette"	""	""	"2"	"100"
"ls:fr:entry:26495"	""	"bien"	"Adv"	""	"2"	"100"
"ls:fr:entry:26496"	""	"bien"	"N"	""	"2"	"100"
"ls:fr:entry:26497"	""	"bien que"	""	""	"2"	"100"
"ls:fr:entry:26498"	""	"bien sûr"	""	""	"2"	"100"
"ls:fr:entry:26499"	""	"bientôt"	""	""	"2"	"100"
"ls:fr:entry:26500"	""	"bière"	""	"1"	"2"	"100"
"ls:fr:entry:26501"	""	"bifteck"	""	""	"2"	"100"
"ls:fr:entry:26502"	""	"bijou"	""	""	"2"	"100"
"ls:fr:entry:26503"	""	"billet"	""	""	"2"	"100"
"ls:fr:entry:26504"	""	"biscuit"	""	"1"	"2"	"100"
"ls:fr:entry:26505"	""	"bise"	""	"1"	"2"	"100"
"ls:fr:entry:26506"	""	"bizarre"	""	""	"2"	"100"
"ls:fr:entry:26507"	""	"blague"	""	"1"	"2"	"100"
"ls:fr:entry:26508"	""	"blanc"	""	""	"2"	"100"
"ls:fr:entry:26509"	""	"blancheur"	""	""	"2"	"100"
"ls:fr:entry:26510"	""	"blé"	""	""	"2"	"100"
"ls:fr:entry:26511"	""	"blesser"	""	""	"2"	"100"
"ls:fr:entry:26512"	""	"bleu"	""	""	"2"	"100"
"ls:fr:entry:26513"	""	"bloc"	""	""	"2"	"100"
"ls:fr:entry:26514"	""	"blond"	""	""	"2"	"100"
"ls:fr:entry:26515"	""	"bloquer"	""	""	"2"	"100"
"ls:fr:entry:26516"	""	"bocal"	""	""	"2"	"100"
"ls:fr:entry:26517"	""	"bœuf"	""	"1"	"2"	"100"
"ls:fr:entry:26518"	""	"boire"	"V"	""	"2"	"100"
"ls:fr:entry:26519"	""	"bois"	""	""	"2"	"100"
"ls:fr:entry:26520"	""	"boisson"	""	""	"2"	"100"
"ls:fr:entry:26521"	""	"boîte"	""	""	"2"	"100"
"ls:fr:entry:26522"	""	"bol"	""	"1"	"2"	"100"
"ls:fr:entry:26523"	""	"bombarder"	""	""	"2"	"100"
